latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
36.46722,113.34202,316.23,1.25,1.11,2025-04-23,0230,T,70,6.1NRT,303.24,7.93,D
36.32985,111.76555,311.29,1.09,1.04,2025-04-23,0232,T,48,6.1NRT,297.45,5.42,D
35.76416,114.30987,317.46,1.45,1.19,2025-04-23,0232,T,35,6.1NRT,303.47,12.19,D
35.42811,116.0381,306.94,1.88,1.34,2025-04-23,0232,T,45,6.1NRT,294.36,10.64,D
35.70382,114.57271,319.05,1.51,1.21,2025-04-23,0232,T,48,6.1NRT,303.99,18.35,D
35.64387,112.84948,319.87,1.22,1.1,2025-04-23,0232,T,73,6.1NRT,308.26,5.64,D
35.19982,114.68384,313.64,1.57,1.23,2025-04-23,0232,T,57,6.1NRT,300.2,10.01,D
35.1802,114.60941,312.15,1.55,1.23,2025-04-23,0232,T,44,6.1NRT,297.08,11.26,D
34.92332,115.93455,309.5,1.9,1.35,2025-04-23,0232,T,27,6.1NRT,297.83,13.84,D
35.26311,113.70859,314.63,1.37,1.16,2025-04-23,0232,T,60,6.1NRT,301.77,13.24,D
35.20435,113.79966,313.98,1.39,1.17,2025-04-23,0232,T,23,6.1NRT,301.29,9.36,D
35.03937,114.42222,314.75,1.53,1.22,2025-04-23,0232,T,18,6.1NRT,299.76,11,D
35.17122,113.05936,316.62,1.28,1.12,2025-04-23,0232,T,41,6.1NRT,302.3,8.31,D
35.16885,113.07281,317.43,1.28,1.12,2025-04-23,0232,T,49,6.1NRT,302.08,8.48,D
35.04338,113.77485,312.62,1.4,1.17,2025-04-23,0232,T,57,6.1NRT,300.52,10.65,D
34.80065,113.96331,316.15,1.45,1.19,2025-04-23,0232,T,69,6.1NRT,297.75,13.35,D
34.79351,113.84454,315.23,1.43,1.18,2025-04-23,0232,T,66,6.1NRT,300.5,10.84,D
34.7499,113.84853,316.94,1.43,1.18,2025-04-23,0232,T,63,6.1NRT,301.81,10.31,D
34.74716,113.8635,318.67,1.43,1.18,2025-04-23,0232,T,72,6.1NRT,301.81,13.3,D
34.80182,113.3315,319.5,1.34,1.15,2025-04-23,0232,T,30,6.1NRT,302.21,10.36,D
34.76562,113.47896,315.01,1.36,1.16,2025-04-23,0232,T,66,6.1NRT,302.02,7.77,D
34.66879,113.89961,315.16,1.45,1.19,2025-04-23,0232,T,64,6.1NRT,300.92,7.71,D
34.59521,113.73208,322.6,1.42,1.18,2025-04-23,0232,T,77,6.1NRT,301.89,19.05,D
34.59368,113.62338,316.75,1.4,1.17,2025-04-23,0232,T,54,6.1NRT,300.67,10.23,D
34.67481,112.99239,314.49,1.29,1.13,2025-04-23,0232,T,42,6.1NRT,302.56,9.83,D
34.68925,112.73302,319.57,1.25,1.11,2025-04-23,0232,T,37,6.1NRT,304.68,12.8,D
34.66718,112.68649,312.41,1.24,1.11,2025-04-23,0232,T,41,6.1NRT,300.33,6.76,D
34.70493,112.29598,317.06,1.19,1.09,2025-04-23,0232,T,47,6.1NRT,303.64,7.31,D
34.45351,113.70437,310.68,1.42,1.18,2025-04-23,0232,T,22,6.1NRT,294.36,8.75,D
34.68053,112.29658,317.04,1.19,1.09,2025-04-23,0232,T,38,6.1NRT,303.86,7.25,D
34.67842,112.30912,318.74,1.2,1.09,2025-04-23,0232,T,56,6.1NRT,304.42,9.17,D
34.65054,112.47383,316.43,1.22,1.1,2025-04-23,0232,T,55,6.1NRT,302.4,7.87,D
34.57607,112.8488,311.58,1.27,1.12,2025-04-23,0232,T,59,6.1NRT,298.66,7.65,D
34.60055,112.64922,316.41,1.24,1.11,2025-04-23,0232,T,39,6.1NRT,302.53,9.93,D
34.5919,112.52591,315.54,1.23,1.1,2025-04-23,0232,T,61,6.1NRT,301.8,8.34,D
34.57851,112.60303,313.52,1.24,1.11,2025-04-23,0232,T,49,6.1NRT,301.19,7.41,D
34.56046,112.33977,313.5,1.2,1.09,2025-04-23,0232,T,45,6.1NRT,299.91,5.34,D
